Code postal;Numéro;Implantation;Rue croisement 1;Rue croisement 2;Rue croisement 3;Précision de l’implantation;Date de mise en service
75012;91445;Esplanade Saint-Louis;;;;adresse imprécise;15/05/15
75012;13469;Face au 30, boulevard Carnot;;;;point décrit;02/11/12
75012;12088;Léo Lagrange;;;;point décrit;inconnue
75012;12082;Parc de Bercy, skate Parc;Parc de Bercy; skate Parc;;croisement;09/01/17
75012;30427;Place Colonel Bourgouin — rue Erard, rue de Charenton;;;;point décrit;14/09/12
75012;33553;Place d'Aligre;;;;adresse imprécise;04/05/12
75012;48147;Place des Combattants en Afrique du Nord;;;;adresse imprécise;13/04/12
75012;42724;Place du Bataillon du Pacifique;;;;adresse imprécise;18/03/14
75012;38396;Place Félix Eboué;;;;adresse imprécise;13/04/12
75012;90101;Place Félix Eboué angle avenue Daumesnil, boulevard de Reuilly;Place Félix Eboué angle avenue Daumesnil; boulevard de Reuilly;;croisement;03/08/12
75012;77071;Place Henri Frenay;;;;adresse imprécise;03/02/12
75012;30906;Place Henri Frenay, rue Roland Barthes;Place Henri Frenay; rue Roland Barthes;;croisement;20/07/12
75012;12067;Place Léonard Bernstein, entrée Parc de Bercy;Place Léonard Bernstein; entrée Parc de Bercy;;croisement;29/03/17
75012;66094;Pont de Bercy Rive droite;;;;point décrit;20/04/12
75012;91873;Pont de Tolbiac (aval) — Seine;;;;point décrit;06/07/12
75012;65346;Quai de Bercy, pont de Tolbiac;Quai de Bercy; pont de Tolbiac;;croisement;20/07/12
75012;46378;Quai de la Râpée, avenue Ledru Rollin;Quai de la Râpée; avenue Ledru Rollin;;croisement;22/06/12
75012;72637;Route de la Pyramide;;;;adresse imprécise;15/05/15
75012;36726;Rue de Charenton, avenue Ledru Rollin;Rue de Charenton; avenue Ledru Rollin;;croisement;23/03/12
75012;12069;Rue de Charenton, boulevard de Reuilly;Rue de Charenton; boulevard de Reuilly;;croisement;30/11/16
75012;53155;Rue de la Brèche aux Loups, rue de la Durance;Rue de la Brèche aux Loups; rue de la Durance;;croisement;04/05/12
75012;17662;Rue de Tourneux, rue Edouard Robert;Rue de Tourneux; rue Edouard Robert;;croisement;20/04/12
75012;19963;Rue de Wattignies, rue de Fécamp;Rue de Wattignies; rue de Fécamp;;croisement;07/09/12
75012;84570;Rue Erard, rue de Reuilly;Rue Erard; rue de Reuilly;;croisement;21/12/11
75012;12091;Rue Fécamp, avenue Daumesnil;Rue Fécamp; avenue Daumesnil;;croisement;01/09/16
75012;60061;Rue François Truffaut, rue de l'Ambroisie;Rue François Truffaut; rue de l'Ambroisie;;croisement;09/11/12
75012;12083;Rue Hénard, allée Vivaldi;Rue Hénard; allée Vivaldi;;croisement;27/09/16
75012;12090;Rue Jacques Hillairet, rue Albinoni;Rue Jacques Hillairet; rue Albinoni;;croisement;20/10/16
75012;75510;Rue Montgallet, rue de Reuilly;Rue Montgallet; rue de Reuilly;;croisement;13/01/12
75012;41676;Rue Reuilly, boulevard Diderot;Rue Reuilly; boulevard Diderot;;croisement;13/01/12
75012;62164;Rue Roland Barthes, rue Chrétien deTroyes;Rue Roland Barthes; rue Chrétien deTroyes;;croisement;18/05/12
75013;30118;15 bis, rue de Tolbiac;;;;adresse précise;21/12/11
75013;13074;55, boulevard Vincent Auriol;;;;adresse précise;06/03/17
75013;10105;8, boulevard de l'Hôpital;;;;adresse précise;21/12/11
75013;87040;91, boulevard Masséna;;;;adresse précise;20/01/12
75013;11144;Avenue d'Italie, rue du Tage;Avenue d'Italie; rue du Tage;;croisement;07/09/12
75013;16986;Avenue d'Italie, rue de Tolbiac;Avenue d'Italie; rue de Tolbiac;;croisement;10/08/12
75013;23065;Avenue d'Italie, rue Vandrezanne;Avenue d'Italie; rue Vandrezanne;;croisement;19/10/12
75013;19566;Avenue d'Ivry (côté impair) au niveau de la rue Regnault;;;;point décrit;17/02/12
75013;64594;Avenue de Choisy, rue Baudricourt;Avenue de Choisy; rue Baudricourt;;croisement;01/06/12
75013;16244;Avenue de la Porte d'Ivry, avenue Claude Régaud;Avenue de la Porte d'Ivry; avenue Claude Régaud;;croisement;19/10/12
75013;48567;Avenue des Gobelins, boulevard Saint-Marcel;Avenue des Gobelins; boulevard Saint-Marcel;;croisement;01/06/12
75013;53448;Avenue des Gobelins, boulevard Saint- Marcel;Avenue des Gobelins; boulevard Saint-Marcel;;croisement;01/06/12
75013;67935;Avenue Joseph Bédier, rue Maryse Bastié;Avenue Joseph Bédier; rue Maryse Bastié;;croisement;19/10/12
75013;91336;Avenue Pierre de Coubertin, boulevard Kellermann;Avenue Pierre de Coubertin; boulevard Kellermann;;croisement;01/06/12
75013;13109;Avenue Pierre Mendès France, rue Paul Klee;Avenue Pierre Mendès France; rue Paul Klee;;croisement;inconnue
75013;68021;Boulevard Auguste Blanqui, rue Corvisart;Boulevard Auguste Blanqui; rue Corvisart;;croisement;21/12/11
75013;68334;Boulevard Auguste Blanqui, rue de la Glacière;Boulevard Auguste Blanqui; rue de la Glacière;;croisement;21/12/11
75013;78185;Boulevard de l'Hôpital, rue Jeanne d'Arc;Boulevard de l'Hôpital; rue Jeanne d'Arc;;croisement;13/07/12
75013;62732;Boulevard de l'Hôpital, rue Pinel;Boulevard de l'Hôpital; rue Pinel;;croisement;13/07/12
75013;64071;Boulevard de l'Hôpital, quai d'Austerlitz, gare d'Austerlitz;Boulevard de l'Hôpital; quai d'Austerlitz;;croisement;31/08/12
75013;33183;Boulevard Général Jean Simon, Pont National;Boulevard Général Jean Simon; Pont National;;croisement;28/12/12
75013;13077;Boulevard Masséna, avenue de la Porte de Vitry;Boulevard Masséna; avenue de la Porte de Vitry;;croisement;14/11/16
75013;79232;Boulevard Masséna, rue Jean-Baptiste Berlier;Boulevard Masséna; rue Jean-Baptiste Berlier;;croisement;09/11/12
75013;63591;Boulevard Masséna, avenue de la Porte d'Ivry;Boulevard Masséna; avenue de la Porte d'Ivry;;croisement;14/09/12
75013;58557;Boulevard Saint-Marcel, boulevard de l'Hôpital;Boulevard Saint-Marcel; boulevard de l'Hôpital;;croisement;01/06/12
75013;75329;Boulevard Vincent Auriol, quai d'Austerlitz;Boulevard Vincent Auriol; quai d'Austerlitz;;croisement;19/10/12
75013;84568;Boulevard Vincent Auriol, rue Nationale;Boulevard Vincent Auriol; rue Nationale;;croisement;19/10/12
75013;45705;Carrefour des Gobelins;;;;adresse imprécise;01/06/12
75013;13080;Dalle Olympiades — Cour de Rome, Galerie Stadium;Dalle Olympiades — Cour de Rome; Galerie Stadium;;croisement;01/09/16
75013;60972;Face au 122, rue du Château des Rentiers;;;;point décrit;24/08/12
75013;13231;Olympiades — Londres, Anvers;;;;point décrit;18/01/13
75013;13532;Olympiades — Mexico;;;;point décrit;18/01/13
