Code postal;Numéro;Implantation;Date de mise en service
75003;45415;Boulevard des Filles du Calvaire, rue des Filles du Calvaire;06/07/12
75003;54318;Rue Perrée, rue Eugène Spuller;29/06/12
75003;55744;9, place de la République;28/09/12
75003;56119;Rue de Picardie, rue de Franche Comté;29/06/12
75003;57802;20, rue Notre-Dame de Nazareth;23/03/12
75003;64258;Rue Vaucanson, rue du Vertbois;18/05/12
75003;71418;Rue Réaumur, rue Saint-Martin;15/06/12
75003;74979;Boulevard Saint-Denis, boulevard de Strasbourg;15/06/12
75003;76984;Rue de Réaumur, rue de Bretagne;29/06/12
75003;77904;Rue de Bretagne, rue de Turenne;08/05/15
75003;79973;Boulevard Beaumarchais, rue du Pas-de-la-Mule;14/09/12
75003;84550;Place de la République, rue du Temple;12/10/12
75003;84809;Rue des Archives, rue Rambuteau;13/01/12
75003;84854;Rue de Turbigo, rue du Temple;27/04/12
75003;86717;Boulevard Beaumarchais, rue des Arquebusiers;14/09/12
75003;92031;Rue du Vertbois, rue de Turbigo;18/01/13
75004;96299;Pont Marie amont — Seine;27/07/12
75004;97572;Rue des Ecouffes, rue des Rosiers;09/03/12
75004;99492;Pont d'Arcole amont — Seine;26/10/12
75004;29297B;Place de l'Hôtel de Ville, avenue Victoria;03/02/12
75004;67266B;Rue d'Arcole, place du Parvis Notre-Dame;09/03/12
75005;5013;Place Alphonse Laveran, rue Saint-Jacques;23/03/17
75005;5022;Port de la Tournelle — Seine;Début 2019
75005;5051;Rue du Fouarre, rue Lagrange;21/12/16
75005;5052;Rue de la Montagne Sainte-Geneviève, rue Descartes;10/07/18
75005;5053;Rue Saint-Jacques, rue Soufflot;16/05/18
75005;5054;Rue Poliveau, rue Geoffroy Saint-Hilaire;22/07/16
75005;5055;Rue Claude Bernard, rue de Valence;18/12/17
75005;5056;Rue Claude Bernard, rue Bazeilles;28/06/18
75005;5057;Rue Claude Bernard, rue Vauquelin;21/09/16
75005;5058;Rue Pierre Nicole, rue du Val de Grâce;30/09/16
75005;5060;Port Saint-Bernard (Alvéoles 1, 2 et 3) — Seine;Début 2019
75005;12312;Rue Blainville, place de la Contrescarpe;19/10/12
75005;13146;Rue de Jussieu, rue des Fossés Saint-Bernard;08/03/13
75005;15242;Place Maubert;03/02/12
75005;20669;Boulevard Saint-Germain, quai de la Tournelle;13/04/12
75005;23250;Rue d'Ulm, rue d'Erasme;01/06/12
75005;26800;Rue Bernardin, rue Monge;21/12/11
75005;33168;Rue du Cardinal Lemoine, rue Monge;21/12/11
75005;35784;Rue des Ecoles, rue Monge;13/01/12
75005;38623;Boulevard Saint-Michel, place de laSorbonne;03/02/12
75005;39271;Boulevard Saint-Michel, rue Soufflot;27/01/12
75005;43043;Rue de la Harpe, rue de la Huchette;18/01/13
75005;45866;Place Saint-Médard, rue Mouffetard;13/01/12
75005;48902;Square Tino Rossi;18/01/13
75005;50044;Rue Mouffetard, rue de l'Epée de Bois;18/05/12
75005;50581;Rue Linné, rue des Boulangers;03/02/12
75005;50850;Rue Saint-Jacques, rue des Ecoles;21/12/11
75005;51005;Quai Saint-Bernard, rue Cuvier;06/07/12
75005;53322;Boulevard Saint-Germain, rue Saint-Jacques;21/12/12
75005;53494;Rue Clovis, rue Descartes;13/01/12
75005;53679;Boulevard Saint-Michel, place Louis Marin;28/09/12
75005;53982;Rue du Cardinal Lemoine, rue des Ecoles;08/03/13
75005;54992;Pont de Sully, quai Tournelle;20/04/12
75005;58021;Square Tino Rossi, quai Saint-Bernard;06/07/12
75005;61991;Boulevard Saint-Michel, boulevard Saint- Germain;15/06/12
75005;62140;Rue Chantier, rue des Fossés Saint-Bernard;21/12/11
75005;62185;Rue Saint-Jacques, rue Gay Lussac;21/12/11
75005;63441;81, boulevard de Port-Royal;15/06/12
75005;65348;Quai de Montebello, rue du Petit Pont;01/02/13
75005;65680;Place du Panthéon, rue d'Ulm, rue Clotaire;21/12/11
75005;67726;Place du Puits de L'Ermite, rue de Quatrefages;21/12/11
75005;69567;Place Saint-Michel, pont Saint-Michel;29/03/13
75005;73849;Rue Saint-Julien le Pauvre, rue Galande;25/05/12
75005;76722;Rue Monge, rue Larrey;10/02/12
75005;78605;Rue Jussieu, rue Cuvier;21/12/11
75005;79793;Rue Saint-Victor, rue de Pontoise;21/12/11
75007;7001;Place de Fontenoy, Ecole Militaire;Début 2019
75007;7002;Place de Fontenoy, rue d'Estrées;03/01/17
75007;7016;Rue de Varenne, rue Vaneau;14/03/17
75007;7075;Rue Recamier, rue de Sèvres (côté pair);15/03/18
75007;7080;Quai d'Orsay, rue Robert Esnault Pelterie;27/05/16
75007;7082;Avenue de la Bourdonnais, quai Branly côté impair;02/10/17
75007;7083;Avenue de la Motte-Picquet, Champ de Mars, Ecole Militaire;23/08/18
75007;7084;Rue de l'Université, avenue Franco-Russe;11/09/17
75007;7087;Rue de Grenelle, square de La Tour-Maubourg;07/09/17
75007;7089;Avenue Charles Risler, allée Pierre Loti;27/05/16
75007;7090;Avenue du Docteur Brouardel, alléeThomy Thierry;27/05/16
75007;7091;Rue Champfleury, rue Charles Flocquet;06/11/17
75007;7092;Rue de Grenelle, rue des Saints-Pères;19/09/18
75007;10583;Pilier Est de la Tour Eiffel;15/06/12
75007;11264;Avenue de Ségur, avenue de Suffren;06/04/12
75007;11361;Place Saint-Thomas d'Aquin, rue Saint-Thomas d'Aquin;24/02/12
75007;12509;Boulevard Saint-Germain, boulevard Raspail;23/03/12
75007;13455;Ecole Militaire, Champ de Mars;02/11/12
75007;14157;Rue Saint-Dominique, rue Cler;16/11/12
75007;17103;Quai Branly, avenue de Suffren;15/06/12
75007;17567;Avenue Saxe, avenue Breteuil (place de Breteuil);03/02/12
75007;18769;Place André Tardieu;24/02/12
75007;19899;Pilier Ouest de la Tour Eiffel;21/12/11
75007;20276;Rue Duroc, boulevard des Invalides;21/09/12
75007;21909;Boulevard de la Tour Maubourg, rue de l'Université;14/06/13
75007;22580;Rue de Babylone, rue Barbet de Jouy;25/05/12
75007;23371;Port de Solférino, niveau Musée de la Légion d'Honneur — Seine;26/07/13
75007;28398;Boulevard de la Tour Maubourg, avenue de Tourville;03/02/12
75007;29075;Port des Invalides, aval du pont Alexandre III — Seine;13/12/13
75007;29504;Boulevard Saint-Germain, rue de Bellechasse;27/01/12
75007;30736;Rue de Sèvres, rue du Bac;23/03/12
75007;31779;Rue de Grenelle, rue de Bellechasse;23/03/12
75007;33167;Rue des Saints-Pères, rue de Lille;24/02/12
75007;33282;Avenue du Maréchal Galliéni, rue de l'Université;27/04/12
75007;34479;Avenue du Général Détrié, avenue Charles Floquet;20/07/12
75007;36804;Place Jacques Rueff;21/09/12
75007;37705;23, rue de Babylone;07/09/12
75007;38775;Place de la Résistance;21/12/11
75007;38933;Rue Lille, rue de Bellechasse;04/05/12
75007;39480;Boulevard Raspail, rue de Varenne;27/07/12
75007;39764;Avenue de la Motte Picquet, boulevard de la Tour Maubourg;08/06/12
75007;39930;Rue Jacob, rue des Saints-Pères;17/02/12
75007;39992;Quai Branly, pont d'Iéna;10/02/12
75007;46990;Pont Alexandre III, quai Anatole France;21/09/12
75007;49553;Pilier Nord de la Tour Eiffel;21/12/11
75007;51211;Boulevard Raspail, rue de Varenne;27/07/12
75007;52217;Avenue de Suffren, avenue Joseph Bouvard;13/01/12
75007;52733;Assemblée Nationale;17/08/12
75007;53718;Place du Général Gouraud;21/09/12
75008;8002;Avenue Montaigne contre-allée Sud, rond-point des Champs-Elysées;22/11/17
75008;8003;Avenue Montaigne contre-allée Nord, rond-point des Champs-Elysées;18/01/18
75008;8007;29, rue du Faubourg Saint-Honoré;21/04/17
75008;8009;Avenue des Champs-Elysées, avenue de Marigny;31/10/18
75008;8021; Avenue George V, rue de la Tremoille;20/11/17
