Code postal;Numéro;Implantation;Précision de l’implantation;Date de mise en service;lon;lat
75016;16071;Avenue Chantemesse, avenue du Maréchal Fayolle;croisement;10/08/16;2.27019425;48.867254
75016;16092;Rue Benjamin Franklin, rue Le Tasse;croisement;13/02/18;2.2859032;48.8604234
75016;16109;Avenue Kléber, rue Boissière;croisement;23/03/17;2.28994328;48.86681256
75016;16137;Rue du Sergent Maginot, rue de l'Arioste;croisement;02/09/16;2.2549304;48.8413917
75016;16146;Boulevard Murat, quai Saint-Exupéry;croisement;04/11/16;2.2663143;48.8387501
75011;16178;Rue Oberkampf, boulevard Voltaire;croisement;05/07/13;2.3701152;48.8637623666667
75013;16244;Avenue de la Porte d'Ivry, avenue Claude Régaud;croisement;19/10/12;2.37181383;48.82026106
75017;16458;Avenue de la Porte d'Asnières, boulevard Berthier;croisement;09/03/12;2.303881325;48.890136975
75006;16543;Place Paul Claudel, rue Rotrou;croisement;08/05/15;2.33842015;48.8492163
75019;16661;Rue de Tanger, rue Riquet;croisement;09/01/15;2.3713185;48.8892514
75001;16819;Rue des Pyramides, avenue de l'Opéra;croisement;06/07/12;2.3341623;48.8663093
75017;17094;Rue des Batignolles, rue des Dames;croisement;08/12/16;2.3224277;48.8840369
75017;17095;Rue de Prony, avenue de Wagram;croisement;18/11/16;2.3019395;48.8832695
75017;17096;Rue Galvani, rue Laugier;croisement;07/12/16;2.2926662;48.8838563
75017;17097;Avenue de Wagram, rue Rennequin;croisement;01/12/16;2.29965;48.8804809
75007;17103;Quai Branly, avenue de Suffren;croisement;15/06/12;2.2910099;48.857476
75020;17129;Rue de Tlemcen, rue Duris;croisement;27/04/12;2.3879923;48.8648579
75019;17435;Rue de Crimée, rue Manin;croisement;27/04/12;2.38552602;48.8830312
75016;17849;Boulevard Suchet, rue Raffet, square TolstoÏ;croisement;30/03/12;2.2618853;48.8530352
75018;18067;Place de La Chapelle, rue Pajol;croisement;inconnue;2.3604329;48.8848901
75018;18086;Rue Doudeauville, boulevard Barbès;croisement;14/11/16;2.349584175;48.88835455
75018;18091;Rue Pajol, rue du Département, rue Philippe de Girard;croisement;31/01/17;2.3611518;48.8867262
75018;18093;Rue Pajol, rue Romy Schneider;croisement;inconnue;2.3619428;48.8879952
75018;18115;Rue Labat, boulevard Barbès;croisement;14/11/16;2.349584925;48.88948305
75003;18247;Rue des Francs Bourgeois, rue de Turenne;croisement;13/04/12;2.3642877;48.8564649
75014;18452;Rue de l'Eure, rue Didot;croisement;24/02/12;2.3208964;48.8329865
75008;18514;Boulevard des Batignolles, rue de Rome;croisement;03/02/12;2.32043973333333;48.8820708
75017;18536;Avenue de la Porte d'Asnières, boulevard de Reims;croisement;18/05/12;2.3012707;48.8920582
75016;18695;Rue Saint-Didier, rue Mesnil;croisement;25/05/12;2.2836018;48.8670767
75019;18837;Avenue Corentin Cariou, quai de la Gironde;croisement;22/02/13;2.38376064236523;48.8959641411156
75014;18838;Place Denfert-Rochereau, boulevard Saint-Jacques;croisement;27/01/12;2.3333461;48.83411552
75002;18870;Rue Réaumur, rue Saint-Denis;croisement;21/12/11;2.351132;48.8665334
